Function,Algorithm,Best Score,Mean Score,Std Score,Mean Time (s),Mean Fitness Calls,Dimension,Min Value
powellsum,GA,0.000000,0.000003,0.000003,0.321,6480,30,0.0
powellsum,PSO,0.000000,0.000000,0.000000,0.255,14420,30,0.0
quartic,GA,-0.998956,-0.998410,0.000598,0.329,6480,30,0.0
quartic,PSO,-0.999355,-0.998301,0.000815,0.164,9840,30,0.0
ridge,GA,-9.950065,-9.922695,0.039206,0.319,5790,30,0.0
ridge,PSO,-9.999983,-9.999872,0.000072,0.186,10200,30,0.0
rosenbrock,GA,0.000000,0.000000,0.000000,0.155,2600,30,0.0
rosenbrock,PSO,0.000000,0.000000,0.000000,0.147,5100,30,0.0
schwefel220,GA,6.620228,8.391841,1.326591,0.748,14680,30,0.0
schwefel220,PSO,29.155646,34.356069,4.284298,0.250,9840,30,0.0
schwefel221,GA,3.892599,6.660789,2.021518,0.838,15520,30,0.0
schwefel221,PSO,27.860870,32.531541,5.247697,0.315,11900,30,0.0
schwefel222,GA,8.795790,13.328542,5.573834,0.680,14010,30,0.0
schwefel222,PSO,56.876440,68.134692,6.332571,0.354,13320,30,0.0
schwefel223,GA,5.769200,66238.687452,78300.848464,0.712,13920,30,0.0
schwefel223,PSO,26144435.143982,2311777120.515512,2679888061.062235,0.263,11100,30,0.0
sphere,GA,0.004206,0.013879,0.008201,1.051,20160,30,0.0
sphere,PSO,0.254720,0.385489,0.131741,0.235,9700,30,0.0
sumsquares,GA,0.001791,0.009458,0.009858,0.263,4630,30,0.0
sumsquares,PSO,0.000041,0.000139,0.000074,0.177,10260,30,0.0
trid,GA,-1.998560,-1.994941,0.003503,0.346,6880,30,0.0
trid,PSO,-2.000000,-1.999937,0.000049,0.200,11700,30,0.0
zakharov,GA,0.048936,0.121308,0.059045,0.699,11960,30,0.0
zakharov,PSO,0.989504,1.412537,0.444384,0.307,10820,30,0.0
